"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Wed Nov 29 14:44:15 UTC 2023","Wed Nov 29 14:44:22 UTC 2023","6243","Step_Definition","google_sd","","","","test_user_validates_title_1","/home/runner/work/e2e_test/e2e_test/Features/google.feature: User validates title 1"
"passed","Wed Nov 29 14:44:22 UTC 2023","Wed Nov 29 14:44:25 UTC 2023","3605","Step_Definition","google_sd","","","","test_user_validates_title_2","/home/runner/work/e2e_test/e2e_test/Features/google.feature: User validates title 2"
